,data_type,country,state,year,quarter,name,type,count,amount
135,map,india,Na,2018,4,sikkim,TOTAL,154533,383141358.07825375
136,map,india,Na,2018,4,nagaland,TOTAL,139333,388013467.5456239
137,map,india,Na,2018,4,mizoram,TOTAL,55242,190426852.52952954
138,map,india,Na,2018,4,chhattisgarh,TOTAL,5365844,9416412664.971258
139,map,india,Na,2018,4,jammu & kashmir,TOTAL,2721310,5664720265.697432
140,map,india,Na,2018,4,goa,TOTAL,514755,1153005078.9224057
141,map,india,Na,2018,4,arunachal pradesh,TOTAL,176429,504040029.0917605
142,map,india,Na,2018,4,delhi,TOTAL,29187719,39722857618.706436
143,map,india,Na,2018,4,uttarakhand,TOTAL,3178761,5654272137.963844
144,map,india,Na,2019,1,puducherry,TOTAL,501092,906473024.3065231
145,map,india,Na,2019,1,tamil nadu,TOTAL,32275045,56204036816.128555
146,map,india,Na,2019,1,uttar pradesh,TOTAL,57324504,76524180134.0167
147,map,india,Na,2019,1,madhya pradesh,TOTAL,37301049,48070279522.04201
148,map,india,Na,2019,1,andhra pradesh,TOTAL,57264522,83760595917.0792
149,map,india,Na,2019,1,tripura,TOTAL,580926,756894941.6158216
150,map,india,Na,2019,1,lakshadweep,TOTAL,2481,8786130.479338994
151,map,india,Na,2019,1,manipur,TOTAL,265409,659898060.4240801
152,map,india,Na,2019,1,maharashtra,TOTAL,75079069,111420690920.33997
153,map,india,Na,2019,1,dadra & nagar haveli & daman & diu,TOTAL,661814,843369776.0499002
154,map,india,Na,2019,1,meghalaya,TOTAL,208741,399037162.15343595
155,map,india,Na,2019,1,andaman & nicobar islands,TOTAL,30486,102299740.67348987
156,map,india,Na,2019,1,haryana,TOTAL,22135775,34051655721.631077
157,map,india,Na,2019,1,rajasthan,TOTAL,43956040,61141158575.55252
158,map,india,Na,2019,1,ladakh,TOTAL,46145,152859920.9491272
159,map,india,Na,2019,1,punjab,TOTAL,7172137,13574490001.853222
160,map,india,Na,2019,1,assam,TOTAL,4533005,8002099536.451059
161,map,india,Na,2019,1,jharkhand,TOTAL,9387708,13627236449.278034
162,map,india,Na,2019,1,odisha,TOTAL,34031942,35427127930.698456
163,map,india,Na,2019,1,bihar,TOTAL,26356234,41502827514.52612
164,map,india,Na,2019,1,kerala,TOTAL,6469039,10235031134.849785
165,map,india,Na,2019,1,karnataka,TOTAL,86587609,117976382145.74966
166,map,india,Na,2019,1,chandigarh,TOTAL,1274476,2396032050.444029
167,map,india,Na,2019,1,telangana,TOTAL,65290702,95523262035.66321
168,map,india,Na,2019,1,himachal pradesh,TOTAL,2168718,3381481442.991081
169,map,india,Na,2019,1,west bengal,TOTAL,47626388,50164672623.87851
170,map,india,Na,2019,1,gujarat,TOTAL,24991451,35856080308.47724
171,map,india,Na,2019,1,sikkim,TOTAL,240287,457993634.3840939
172,map,india,Na,2019,1,nagaland,TOTAL,168579,441941712.41233104
173,map,india,Na,2019,1,mizoram,TOTAL,70306,218160895.39740258
174,map,india,Na,2019,1,chhattisgarh,TOTAL,7887669,12544556385.328796
175,map,india,Na,2019,1,jammu & kashmir,TOTAL,3584987,5951835476.521047
176,map,india,Na,2019,1,goa,TOTAL,738812,1475323397.276577
177,map,india,Na,2019,1,arunachal pradesh,TOTAL,226506,609950106.3139492
178,map,india,Na,2019,1,delhi,TOTAL,47007327,58469131789.49733
179,map,india,Na,2019,1,uttarakhand,TOTAL,5546001,7183529175.274033
180,map,india,Na,2019,2,puducherry,TOTAL,580077,1211446910.127807
181,map,india,Na,2019,2,tamil nadu,TOTAL,32171737,64207676025.75553
182,map,india,Na,2019,2,uttar pradesh,TOTAL,58883500,98917519370.67831
183,map,india,Na,2019,2,madhya pradesh,TOTAL,40846013,68334566380.56182
184,map,india,Na,2019,2,andhra pradesh,TOTAL,56409015,113634518758.22931
185,map,india,Na,2019,2,tripura,TOTAL,532558,841821482.8473747
186,map,india,Na,2019,2,lakshadweep,TOTAL,2926,9242524.13698889
187,map,india,Na,2019,2,manipur,TOTAL,257425,722789942.1495004
188,map,india,Na,2019,2,maharashtra,TOTAL,101149853,153294470088.05945
189,map,india,Na,2019,2,dadra & nagar haveli & daman & diu,TOTAL,489656,824441276.56507
190,map,india,Na,2019,2,meghalaya,TOTAL,232286,492931289.1072781
191,map,india,Na,2019,2,andaman & nicobar islands,TOTAL,33689,120254709.6756632
192,map,india,Na,2019,2,haryana,TOTAL,22741816,42501539813.21669
193,map,india,Na,2019,2,rajasthan,TOTAL,50009286,89107313172.66756
194,map,india,Na,2019,2,ladakh,TOTAL,68772,259255506.9974248
195,map,india,Na,2019,2,punjab,TOTAL,8509830,18614793394.772213
196,map,india,Na,2019,2,assam,TOTAL,5454929,10954969189.126175
197,map,india,Na,2019,2,jharkhand,TOTAL,10128211,18622701305.54623
198,map,india,Na,2019,2,odisha,TOTAL,29512024,44754854871.67608
199,map,india,Na,2019,2,bihar,TOTAL,29960479,63132438283.54397
200,map,india,Na,2019,2,kerala,TOTAL,7283826,13031371561.185568
201,map,india,Na,2019,2,karnataka,TOTAL,115401604,163702024226.0841
202,map,india,Na,2019,2,chandigarh,TOTAL,1252470,2693116098.9444556
203,map,india,Na,2019,2,telangana,TOTAL,89610379,155676443182.43457
204,map,india,Na,2019,2,himachal pradesh,TOTAL,2502306,4875883973.61058
205,map,india,Na,2019,2,west bengal,TOTAL,47023535,57105691119.11844
206,map,india,Na,2019,2,gujarat,TOTAL,28981842,49320615219.26732
207,map,india,Na,2019,2,sikkim,TOTAL,388244,738894243.4359412
208,map,india,Na,2019,2,nagaland,TOTAL,188753,520066682.1585048
209,map,india,Na,2019,2,mizoram,TOTAL,75671,248016708.13501447
210,map,india,Na,2019,2,chhattisgarh,TOTAL,9389945,17002355688.82225
211,map,india,Na,2019,2,jammu & kashmir,TOTAL,2296355,6100142201.563448
212,map,india,Na,2019,2,goa,TOTAL,768441,1591867103.3876143
213,map,india,Na,2019,2,arunachal pradesh,TOTAL,258656,752655874.3550282
214,map,india,Na,2019,2,delhi,TOTAL,57171512,81706816063.62862
215,map,india,Na,2019,2,uttarakhand,TOTAL,4813275,8588532850.9184885
216,map,india,Na,2019,3,puducherry,TOTAL,716826,1460708357.4554102
217,map,india,Na,2019,3,tamil nadu,TOTAL,41410183,78959604643.63503
218,map,india,Na,2019,3,uttar pradesh,TOTAL,68623959,111268137475.02843
219,map,india,Na,2019,3,madhya pradesh,TOTAL,53610411,77676321491.22867
220,map,india,Na,2019,3,andhra pradesh,TOTAL,76288614,139447944254.78943
221,map,india,Na,2019,3,tripura,TOTAL,711717,1017377422.817224
222,map,india,Na,2019,3,lakshadweep,TOTAL,3104,9651761.463768471
223,map,india,Na,2019,3,manipur,TOTAL,345008,863552002.562933
224,map,india,Na,2019,3,maharashtra,TOTAL,148735581,199617506744.94272
225,map,india,Na,2019,3,dadra & nagar haveli & daman & diu,TOTAL,638751,961471473.8483732
226,map,india,Na,2019,3,meghalaya,TOTAL,306550,612218602.153532
227,map,india,Na,2019,3,andaman & nicobar islands,TOTAL,33770,114071776.08729392
228,map,india,Na,2019,3,haryana,TOTAL,30343531,52489119199.44011
229,map,india,Na,2019,3,rajasthan,TOTAL,67303617,112468290031.92343
230,map,india,Na,2019,3,ladakh,TOTAL,92396,331129527.19382226
231,map,india,Na,2019,3,punjab,TOTAL,10706812,22905815605.843315
232,map,india,Na,2019,3,assam,TOTAL,5942571,12950443620.426579
233,map,india,Na,2019,3,jharkhand,TOTAL,14220647,21465973993.35938
234,map,india,Na,2019,3,odisha,TOTAL,41422272,57304577359.217094
235,map,india,Na,2019,3,bihar,TOTAL,32139900,67692783254.273834
236,map,india,Na,2019,3,kerala,TOTAL,9286096,16429809722.064445
237,map,india,Na,2019,3,karnataka,TOTAL,170733735,214536720438.18292
238,map,india,Na,2019,3,chandigarh,TOTAL,1506543,3269682087.6608405
239,map,india,Na,2019,3,telangana,TOTAL,121495376,201930021130.42365
240,map,india,Na,2019,3,himachal pradesh,TOTAL,2735180,5572018781.123304
241,map,india,Na,2019,3,west bengal,TOTAL,66444829,70540532616.82985
242,map,india,Na,2019,3,gujarat,TOTAL,38228649,59462694964.26753
243,map,india,Na,2019,3,sikkim,TOTAL,552436,884716448.4404289
244,map,india,Na,2019,3,nagaland,TOTAL,261878,650956471.7134112
245,map,india,Na,2019,3,mizoram,TOTAL,98094,278793899.9513421
246,map,india,Na,2019,3,chhattisgarh,TOTAL,12243111,19803259167.45372
247,map,india,Na,2019,3,jammu & kashmir,TOTAL,1116526,3744230491.7824554
248,map,india,Na,2019,3,goa,TOTAL,1092416,2000367191.496843
249,map,india,Na,2019,3,arunachal pradesh,TOTAL,370234,912645034.7958709
250,map,india,Na,2019,3,delhi,TOTAL,69537876,103196812046.45712
251,map,india,Na,2019,3,uttarakhand,TOTAL,5710476,9729032070.017406
252,map,india,Na,2019,4,puducherry,TOTAL,1012655,1932028317.878899
253,map,india,Na,2019,4,tamil nadu,TOTAL,56596411,103190865512.53719
254,map,india,Na,2019,4,uttar pradesh,TOTAL,86905005,145538926507.3059
255,map,india,Na,2019,4,madhya pradesh,TOTAL,68131989,104687926790.86589
256,map,india,Na,2019,4,andhra pradesh,TOTAL,107218103,200948315488.80518
257,map,india,Na,2019,4,tripura,TOTAL,801824,1215400160.2581887
258,map,india,Na,2019,4,lakshadweep,TOTAL,3765,11269913.40492385
259,map,india,Na,2019,4,manipur,TOTAL,449344,1200897682.088641
260,map,india,Na,2019,4,maharashtra,TOTAL,201260620,272994428799.5649
261,map,india,Na,2019,4,dadra & nagar haveli & daman & diu,TOTAL,768971,1226641262.0110402
262,map,india,Na,2019,4,meghalaya,TOTAL,365981,742436471.7902198
263,map,india,Na,2019,4,andaman & nicobar islands,TOTAL,35159,136838530.5173779
264,map,india,Na,2019,4,haryana,TOTAL,37825985,69359719869.10008
265,map,india,Na,2019,4,rajasthan,TOTAL,85074242,159452410049.68317
266,map,india,Na,2019,4,ladakh,TOTAL,84706,324689360.02811134
267,map,india,Na,2019,4,punjab,TOTAL,13698625,29989802246.19331
268,map,india,Na,2019,4,assam,TOTAL,6760510,15281983895.512564
269,map,india,Na,2019,4,jharkhand,TOTAL,18248618,28147748376.677704
270,map,india,Na,2019,4,odisha,TOTAL,64995633,79769373632.04843
271,map,india,Na,2019,4,bihar,TOTAL,43530314,93313426577.80905
272,map,india,Na,2019,4,kerala,TOTAL,12498637,21151326637.805134
273,map,india,Na,2019,4,karnataka,TOTAL,237796252,295047143447.23846
274,map,india,Na,2019,4,chandigarh,TOTAL,1850915,4152513817.939354
275,map,india,Na,2019,4,telangana,TOTAL,163572258,280746765547.7425
276,map,india,Na,2019,4,himachal pradesh,TOTAL,3516646,7271163537.248161
277,map,india,Na,2019,4,west bengal,TOTAL,96805838,88203610254.64601
278,map,india,Na,2019,4,gujarat,TOTAL,42547632,76690662054.91542
279,map,india,Na,2019,4,sikkim,TOTAL,767070,1176509601.6562185
280,map,india,Na,2019,4,nagaland,TOTAL,317170,834537138.3487777
281,map,india,Na,2019,4,mizoram,TOTAL,125239,368689350.6344881
282,map,india,Na,2019,4,chhattisgarh,TOTAL,16305758,27143788737.21397
283,map,india,Na,2019,4,jammu & kashmir,TOTAL,489928,1929695997.8225975
284,map,india,Na,2019,4,goa,TOTAL,1515272,2923460348.4994645
285,map,india,Na,2019,4,arunachal pradesh,TOTAL,459475,1190573179.5272837
286,map,india,Na,2019,4,delhi,TOTAL,80744997,129024467424.89062
287,map,india,Na,2019,4,uttarakhand,TOTAL,7362116,12573706305.150612
288,map,india,Na,2020,1,puducherry,TOTAL,1207921,2205277477.079584
289,map,india,Na,2020,1,tamil nadu,TOTAL,66953473,116569686179.4346
290,map,india,Na,2020,1,uttar pradesh,TOTAL,97239132,172416434960.69037
291,map,india,Na,2020,1,madhya pradesh,TOTAL,79366746,126737281436.18526
292,map,india,Na,2020,1,andhra pradesh,TOTAL,127677357,252737214289.0485
293,map,india,Na,2020,1,tripura,TOTAL,924502,1588778806.3885012
294,map,india,Na,2020,1,lakshadweep,TOTAL,5151,13502368.57450421
295,map,india,Na,2020,1,manipur,TOTAL,818801,2598590380.8769474
296,map,india,Na,2020,1,maharashtra,TOTAL,238944081,319995196718.0683
297,map,india,Na,2020,1,dadra & nagar haveli & daman & diu,TOTAL,878579,1342763369.292519
298,map,india,Na,2020,1,meghalaya,TOTAL,502283,1120134840.9078057
299,map,india,Na,2020,1,andaman & nicobar islands,TOTAL,41298,161476312.2972747
300,map,india,Na,2020,1,haryana,TOTAL,44036087,81976214558.24355
301,map,india,Na,2020,1,rajasthan,TOTAL,102258812,190308238561.00217
302,map,india,Na,2020,1,ladakh,TOTAL,116419,377639677.4457431
303,map,india,Na,2020,1,punjab,TOTAL,15217784,31374185265.899654
304,map,india,Na,2020,1,assam,TOTAL,8808860,20668428347.72898
305,map,india,Na,2020,1,jharkhand,TOTAL,18282713,33611232153.269115
306,map,india,Na,2020,1,odisha,TOTAL,53682307,91956798199.33679
307,map,india,Na,2020,1,bihar,TOTAL,45081815,109256853527.24524
308,map,india,Na,2020,1,kerala,TOTAL,15733522,26451084830.93425
309,map,india,Na,2020,1,karnataka,TOTAL,271033890,353402054999.4004
310,map,india,Na,2020,1,chandigarh,TOTAL,2262511,5126453070.016205
311,map,india,Na,2020,1,telangana,TOTAL,199409525,371343780368.2118
312,map,india,Na,2020,1,himachal pradesh,TOTAL,4144480,7419466751.122733
313,map,india,Na,2020,1,west bengal,TOTAL,66250381,96653305190.9406
314,map,india,Na,2020,1,gujarat,TOTAL,47326417,86995076621.90231
315,map,india,Na,2020,1,sikkim,TOTAL,528118,1053476271.9444009
316,map,india,Na,2020,1,nagaland,TOTAL,378051,894780028.7343724
317,map,india,Na,2020,1,mizoram,TOTAL,153609,392077579.3496374
318,map,india,Na,2020,1,chhattisgarh,TOTAL,19523991,32860597671.356686
319,map,india,Na,2020,1,jammu & kashmir,TOTAL,921630,2937643176.534005
320,map,india,Na,2020,1,goa,TOTAL,1881237,3410371231.9237647
321,map,india,Na,2020,1,arunachal pradesh,TOTAL,567175,1381758681.3301477
322,map,india,Na,2020,1,delhi,TOTAL,81747604,133616543642.58943
323,map,india,Na,2020,1,uttarakhand,TOTAL,9131784,16158080258.987526
324,map,india,Na,2020,2,puducherry,TOTAL,1033383,1960030980.4875922
325,map,india,Na,2020,2,tamil nadu,TOTAL,51870110,95826508896.84135
326,map,india,Na,2020,2,uttar pradesh,TOTAL,100851965,178744016130.31216
327,map,india,Na,2020,2,madhya pradesh,TOTAL,76340573,147922015289.08447
328,map,india,Na,2020,2,andhra pradesh,TOTAL,144917855,302583689746.5449
329,map,india,Na,2020,2,tripura,TOTAL,1052520,1769175883.585958
330,map,india,Na,2020,2,lakshadweep,TOTAL,7220,16942922.08594439
331,map,india,Na,2020,2,manipur,TOTAL,1083068,3198936212.8055243
332,map,india,Na,2020,2,maharashtra,TOTAL,184790761,296359517159.41614
333,map,india,Na,2020,2,dadra & nagar haveli & daman & diu,TOTAL,973152,1302376453.8880572
334,map,india,Na,2020,2,meghalaya,TOTAL,635395,1153735154.3383913
335,map,india,Na,2020,2,andaman & nicobar islands,TOTAL,62962,169645001.41414702
336,map,india,Na,2020,2,haryana,TOTAL,41781050,80711264923.94525
337,map,india,Na,2020,2,rajasthan,TOTAL,101954656,193763273003.28284
338,map,india,Na,2020,2,ladakh,TOTAL,155010,523792998.6520228
339,map,india,Na,2020,2,punjab,TOTAL,14081294,30284654252.21334
340,map,india,Na,2020,2,assam,TOTAL,10505199,19766300125.91926
341,map,india,Na,2020,2,jharkhand,TOTAL,20141511,37486201975.923416
342,map,india,Na,2020,2,odisha,TOTAL,50028576,91733036612.10583
343,map,india,Na,2020,2,bihar,TOTAL,53386742,128806523628.85287
344,map,india,Na,2020,2,kerala,TOTAL,16287967,25894078478.599953
345,map,india,Na,2020,2,karnataka,TOTAL,213221712,321104877020.14185
346,map,india,Na,2020,2,chandigarh,TOTAL,1528010,3847015729.690074
347,map,india,Na,2020,2,telangana,TOTAL,152055143,321531839352.4224
348,map,india,Na,2020,2,himachal pradesh,TOTAL,4695730,8036904762.544065
349,map,india,Na,2020,2,west bengal,TOTAL,57676797,100099431877.35757
350,map,india,Na,2020,2,gujarat,TOTAL,47420185,80387846359.49454
351,map,india,Na,2020,2,sikkim,TOTAL,517731,1054618788.2612653
352,map,india,Na,2020,2,nagaland,TOTAL,517566,1137674504.3478017
353,map,india,Na,2020,2,mizoram,TOTAL,198462,457193433.4423174
354,map,india,Na,2020,2,chhattisgarh,TOTAL,18820925,32268382206.900894
355,map,india,Na,2020,2,jammu & kashmir,TOTAL,2635006,8265648939.258666
356,map,india,Na,2020,2,goa,TOTAL,1482092,2183616430.016773
357,map,india,Na,2020,2,arunachal pradesh,TOTAL,808774,1826716832.9849606
358,map,india,Na,2020,2,delhi,TOTAL,66042018,107873438203.33162
359,map,india,Na,2020,2,uttarakhand,TOTAL,9047770,16094187702.100985
360,map,india,Na,2020,3,puducherry,TOTAL,1730902,3598080229.434597
361,map,india,Na,2020,3,tamil nadu,TOTAL,70277825,143841415498.65747
362,map,india,Na,2020,3,uttar pradesh,TOTAL,127405259,248689955423.05322
363,map,india,Na,2020,3,madhya pradesh,TOTAL,108579881,205701679984.53757
364,map,india,Na,2020,3,andhra pradesh,TOTAL,204902935,467084130584.93884
365,map,india,Na,2020,3,tripura,TOTAL,1317885,2341819516.215885
366,map,india,Na,2020,3,lakshadweep,TOTAL,8589,21306833.308656827
367,map,india,Na,2020,3,manipur,TOTAL,1420168,4615976120.870485
