,data_type,country,state,year,quarter,name,type,count,amount
107,aggregated,india,andaman-&-nicobar-islands,2018,2,Merchant payments,TOTAL,603,1024491.0133579008
108,aggregated,india,andaman-&-nicobar-islands,2018,2,Financial Services,TOTAL,59,121336.0270987509
109,aggregated,india,andaman-&-nicobar-islands,2018,2,Others,TOTAL,368,359838.50537474576
110,aggregated,india,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,TOTAL,8636,4343504.868377829
111,aggregated,india,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,TOTAL,6448,49270781.541635044
112,aggregated,india,andaman-&-nicobar-islands,2018,3,Merchant payments,TOTAL,945,1627359.8394868043
113,aggregated,india,andaman-&-nicobar-islands,2018,3,Financial Services,TOTAL,42,1481.4907042806485
114,aggregated,india,andaman-&-nicobar-islands,2018,3,Others,TOTAL,194,314343.39410715323
115,aggregated,india,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,TOTAL,11517,5450549.512294375
116,aggregated,india,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,TOTAL,10451,81001456.97825177
117,aggregated,india,andaman-&-nicobar-islands,2018,4,Merchant payments,TOTAL,1421,3552027.735492656
118,aggregated,india,andaman-&-nicobar-islands,2018,4,Financial Services,TOTAL,29,76035.7877393286
119,aggregated,india,andaman-&-nicobar-islands,2018,4,Others,TOTAL,340,468266.0606770435
120,aggregated,india,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,TOTAL,15263,6611459.8729725825
121,aggregated,india,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,TOTAL,13119,91808345.86839552
122,aggregated,india,andaman-&-nicobar-islands,2019,1,Merchant payments,TOTAL,1759,3266589.8469614363
123,aggregated,india,andaman-&-nicobar-islands,2019,1,Financial Services,TOTAL,62,116250.43671861099
124,aggregated,india,andaman-&-nicobar-islands,2019,1,Others,TOTAL,283,497094.6484417205
125,aggregated,india,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,TOTAL,14676,7242448.256212333
